X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Y
118.69,92.0,947.0,23.09,21.0,141.0,74.74,50.0,1468.0,111.38,98.0,447.0,81.98,50.0,1468.0,81.98,50.0,1468.0,81.98,50.0,1468.0,81.98,50.0,1468.0,0.0
121.89,97.0,811.0,26.43,23.0,215.0,80.04,51.0,2357.0,102.8,88.0,458.0,82.79,53.0,2357.0,82.79,53.0,2357.0,82.79,53.0,2357.0,82.79,53.0,2357.0,0.0
119.14,96.0,943.0,27.38,24.0,163.0,79.3,52.0,1977.0,107.96,93.0,494.0,83.44,54.0,1977.0,83.44,54.0,1977.0,83.44,54.0,1977.0,83.44,54.0,1977.0,0.0
114.65,92.0,999.0,25.03,22.0,149.0,76.89,52.0,1898.0,105.53,92.0,441.0,80.53,51.0,1898.0,80.53,51.0,1898.0,80.53,51.0,1898.0,80.53,51.0,1898.0,0.0
120.12,95.0,801.0,16.48,14.0,139.0,78.83,53.0,2040.0,110.4,96.0,472.0,81.46,50.0,2040.0,81.46,50.0,2040.0,81.46,50.0,2040.0,81.46,50.0,2040.0,0.0
124.86,98.0,827.0,21.48,19.0,120.0,76.51,53.0,1407.0,101.96,88.0,459.0,81.2,50.0,1407.0,81.2,50.0,1407.0,81.2,50.0,1407.0,81.2,50.0,1407.0,0.0
123.9,97.0,957.0,17.52,15.0,146.0,83.95,54.5,1615.0,99.89,88.0,460.0,81.32,49.0,1615.0,81.32,49.0,1615.0,81.32,49.0,1615.0,81.32,49.0,1615.0,0.0
114.44,91.0,895.0,28.12,26.0,185.0,75.34,53.0,2266.0,107.65,92.0,470.0,81.39,53.0,2266.0,81.39,53.0,2266.0,81.39,53.0,2266.0,81.39,53.0,2266.0,0.0
113.05,90.0,913.0,16.85,14.0,164.0,88.48,54.0,2131.0,109.02,94.0,447.0,81.85,49.0,2131.0,81.85,49.0,2131.0,81.85,49.0,2131.0,81.85,49.0,2131.0,0.0
113.71,89.0,955.0,24.8,22.0,176.0,76.87,54.0,1885.0,107.48,93.0,479.0,80.72,52.0,1885.0,80.72,52.0,1885.0,80.72,52.0,1885.0,80.72,52.0,1885.0,0.0
111.53,90.0,845.0,15.55,14.0,169.0,79.46,54.0,2039.0,114.3,99.0,480.0,80.21,49.0,2039.0,80.21,49.0,2039.0,80.21,49.0,2039.0,80.21,49.0,2039.0,0.0
111.68,89.5,968.0,15.93,14.0,134.0,80.58,55.0,1594.0,109.14,93.0,459.0,79.33,48.0,1594.0,79.33,48.0,1594.0,79.33,48.0,1594.0,79.33,48.0,1594.0,0.0
112.83,91.0,907.0,16.17,14.0,194.0,90.74,55.0,2512.0,114.16,98.0,497.0,83.48,50.0,2512.0,83.48,50.0,2512.0,83.48,50.0,2512.0,83.48,50.0,2512.0,0.0
117.77,92.0,925.0,17.45,15.0,123.0,80.82,55.0,1829.0,105.41,93.0,519.0,80.36,49.0,1829.0,80.36,49.0,1829.0,80.36,49.0,1829.0,80.36,49.0,1829.0,0.0
125.14,98.0,910.0,30.66,28.0,157.0,85.1,55.0,1800.0,113.77,96.0,487.0,88.67,57.0,1800.0,88.67,57.0,1800.0,88.67,57.0,1800.0,88.67,57.0,1800.0,0.0
127.29,100.0,1044.0,45.89,45.0,208.0,80.26,54.0,2341.0,106.33,92.0,455.0,89.94,63.0,2341.0,89.94,63.0,2341.0,89.94,63.0,2341.0,89.94,63.0,2341.0,0.0
123.11,97.0,1006.0,22.01,18.0,203.0,80.48,54.0,2548.0,105.05,90.0,493.0,82.66,52.0,2548.0,82.66,52.0,2548.0,82.66,52.0,2548.0,82.66,52.0,2548.0,0.0
115.77,92.0,788.0,48.21,48.0,189.0,87.4,55.0,1810.0,112.42,97.0,452.0,90.95,62.0,1810.0,90.95,62.0,1810.0,90.95,62.0,1810.0,90.95,62.0,1810.0,0.0
116.22,91.0,892.0,32.89,31.0,171.0,83.66,55.0,2193.0,108.38,96.0,522.0,85.28,57.0,2193.0,85.28,57.0,2193.0,85.28,57.0,2193.0,85.28,57.0,2193.0,0.0
121.31,96.0,858.0,22.67,20.0,172.0,83.77,56.0,1921.0,111.13,96.0,519.0,84.72,53.0,1921.0,84.72,53.0,1921.0,84.72,53.0,1921.0,84.72,53.0,1921.0,0.0
128.98,101.0,943.0,20.73,17.0,191.0,80.77,54.0,2632.0,114.86,99.0,538.0,86.33,53.0,2632.0,86.33,53.0,2632.0,86.33,53.0,2632.0,86.33,53.0,2632.0,0.0
129.96,104.0,918.0,15.95,14.0,133.0,82.94,55.0,1939.0,119.44,104.5,560.0,87.07,53.0,1939.0,87.07,53.0,1939.0,87.07,53.0,1939.0,87.07,53.0,1939.0,0.0
126.14,101.0,1003.0,19.55,17.0,154.0,76.32,53.0,2393.0,105.08,92.0,485.0,81.77,50.0,2393.0,81.77,50.0,2393.0,81.77,50.0,2393.0,81.77,50.0,2393.0,0.0
127.09,103.0,900.0,16.57,15.0,161.0,82.27,54.0,2129.0,110.94,95.0,542.0,84.22,50.0,2129.0,84.22,50.0,2129.0,84.22,50.0,2129.0,84.22,50.0,2129.0,0.0
124.42,100.0,1030.0,47.99,49.0,131.0,71.86,53.0,993.0,113.55,96.0,615.0,89.45,64.0,1030.0,89.45,64.0,1030.0,89.45,64.0,1030.0,89.45,64.0,1030.0,0.0
124.68,98.0,944.0,39.41,38.0,182.0,81.27,53.0,1621.0,103.58,89.0,416.0,87.23,60.0,1621.0,87.23,60.0,1621.0,87.23,60.0,1621.0,87.23,60.0,1621.0,0.0
122.49,96.0,895.0,44.68,44.0,112.0,70.61,52.0,1252.0,106.93,93.0,437.0,86.18,60.0,1252.0,86.18,60.0,1252.0,86.18,60.0,1252.0,86.18,60.0,1252.0,0.0
124.35,98.0,838.0,32.48,30.0,189.0,71.23,50.0,2093.0,113.43,97.0,573.0,85.37,57.0,2093.0,85.37,57.0,2093.0,85.37,57.0,2093.0,85.37,57.0,2093.0,0.0
120.16,96.0,839.0,18.67,16.0,125.0,75.53,52.0,1475.0,114.2,98.0,534.0,82.14,49.0,1475.0,82.14,49.0,1475.0,82.14,49.0,1475.0,82.14,49.0,1475.0,0.0
118.47,94.0,885.0,30.15,25.0,172.0,72.35,50.0,1616.0,108.7,93.0,455.0,82.42,55.0,1616.0,82.42,55.0,1616.0,82.42,55.0,1616.0,82.42,55.0,1616.0,0.0
118.14,95.0,742.0,35.35,35.0,146.0,73.42,53.0,1501.0,109.78,95.0,452.0,84.17,57.0,1501.0,84.17,57.0,1501.0,84.17,57.0,1501.0,84.17,57.0,1501.0,0.0
118.85,95.0,950.0,21.3,19.0,100.0,68.04,50.0,1302.0,110.42,96.0,470.0,79.65,50.0,1302.0,79.65,50.0,1302.0,79.65,50.0,1302.0,79.65,50.0,1302.0,0.0
118.63,95.0,960.0,18.28,15.0,143.0,70.4,48.0,1808.0,118.49,102.0,549.0,81.45,48.0,1808.0,81.45,48.0,1808.0,81.45,48.0,1808.0,81.45,48.0,1808.0,0.0
116.0,92.0,889.0,17.97,15.0,100.0,64.77,48.0,1244.0,115.97,101.0,489.0,78.68,48.0,1244.0,78.68,48.0,1244.0,78.68,48.0,1244.0,78.68,48.0,1244.0,0.0
115.6,92.0,978.0,16.17,14.0,99.0,72.9,48.0,1497.0,111.41,96.0,493.0,79.02,47.0,1497.0,79.02,47.0,1497.0,79.02,47.0,1497.0,79.02,47.0,1497.0,0.0
117.35,93.0,840.0,46.98,47.0,109.0,63.19,48.0,1094.0,105.91,94.0,429.0,83.36,60.0,1094.0,83.36,60.0,1094.0,83.36,60.0,1094.0,83.36,60.0,1094.0,0.0
116.87,92.0,811.0,23.89,21.0,150.0,73.02,48.0,1644.0,108.88,97.0,489.0,80.67,50.0,1644.0,80.67,50.0,1644.0,80.67,50.0,1644.0,80.67,50.0,1644.0,0.0
115.41,92.0,815.0,33.71,33.0,139.0,64.17,47.0,1410.0,101.92,89.0,442.0,78.8,53.0,1410.0,78.8,53.0,1410.0,78.8,53.0,1410.0,78.8,53.0,1410.0,0.0
117.11,92.0,865.0,33.9,33.0,180.0,64.79,48.0,1970.0,106.13,92.0,464.0,80.48,54.0,1970.0,80.48,54.0,1970.0,80.48,54.0,1970.0,80.48,54.0,1970.0,0.0
117.7,93.0,802.0,18.15,16.0,138.0,66.1,46.0,1742.0,108.62,96.0,427.0,77.64,46.0,1742.0,77.64,46.0,1742.0,77.64,46.0,1742.0,77.64,46.0,1742.0,0.0
115.99,92.0,802.0,17.79,15.0,112.0,67.49,47.0,1478.0,104.66,89.0,500.0,76.48,45.0,1478.0,76.48,45.0,1478.0,76.48,45.0,1478.0,76.48,45.0,1478.0,0.0
119.83,95.0,806.0,25.44,23.0,163.0,68.27,49.0,1577.0,112.04,98.0,472.0,81.4,51.0,1577.0,81.4,51.0,1577.0,81.4,51.0,1577.0,81.4,51.0,1577.0,0.0
118.94,94.0,830.0,17.9,15.0,133.0,66.53,48.0,1752.0,106.24,92.0,420.0,77.41,47.0,1752.0,77.41,47.0,1752.0,77.41,47.0,1752.0,77.41,47.0,1752.0,0.0
120.45,97.0,788.0,16.8,15.0,172.0,67.13,48.0,2100.0,116.65,98.0,534.0,80.26,48.0,2100.0,80.26,48.0,2100.0,80.26,48.0,2100.0,80.26,48.0,2100.0,0.0
116.39,92.0,805.0,37.72,38.0,111.0,62.75,46.0,975.0,111.79,98.0,533.0,82.16,57.0,975.0,82.16,57.0,975.0,82.16,57.0,975.0,82.16,57.0,975.0,0.0
118.4,93.0,824.0,21.49,18.0,119.0,68.28,48.0,1354.0,104.83,90.0,494.0,78.25,49.0,1354.0,78.25,49.0,1354.0,78.25,49.0,1354.0,78.25,49.0,1354.0,0.0
122.41,96.0,878.0,20.25,17.0,94.0,62.43,48.0,1138.0,106.51,92.0,480.0,77.9,48.0,1138.0,77.9,48.0,1138.0,77.9,48.0,1138.0,77.9,48.0,1138.0,0.0
129.8,101.0,997.0,25.77,22.0,147.0,70.66,49.0,2005.0,115.21,98.0,579.0,85.36,53.0,2005.0,85.36,53.0,2005.0,85.36,53.0,2005.0,85.36,53.0,2005.0,0.0
127.91,101.0,880.0,16.49,14.0,72.0,63.02,48.0,810.0,108.88,93.0,521.0,79.07,48.0,880.0,79.07,48.0,880.0,79.07,48.0,880.0,79.07,48.0,880.0,0.0
122.39,97.0,908.0,18.62,16.0,115.0,67.67,48.0,1655.0,108.11,92.0,537.0,79.2,47.0,1655.0,79.2,47.0,1655.0,79.2,47.0,1655.0,79.2,47.0,1655.0,0.0
